id;code;name;description;url;method
1;bluetooth action-items Bolivar;Borders deposit invoice;Card firewall;http://morris.biz;Salad Cambridgeshire Avon
2;deposit;network withdrawal;Bike Designer standardization;http://cole.name;generating
3;Minnesota Industrial;Integration Cotton;Implementation;https://lilly.net;reintermediate Loan
4;Berkshire Bedfordshire;back-end Bolivia Chair;monitor;http://jefferey.org;invoice
5;Way Engineer Austria;Buckinghamshire digital;Refined Account vertical;https://adelle.org;Applications Baby
6;Pizza Mexico;Buckinghamshire Assistant group;1080p;https://filiberto.net;calculating Fantastic dynamic
7;Practical Pre-emptive;1080p;Rubber Mississippi eco-centric;http://erica.name;hacking
8;clicks-and-mortar;connecting navigate;PCI;http://gust.info;Quetzal
9;Rubber;Sausages payment;Customer Minnesota Planner;http://joaquin.net;violet Security recontextualize
10;HDD;Cotton;Reunion;https://marie.net;demand-driven
