id;endpoint_id;code;name
1;6355;payment Creative;synergize
2;63799;Cambridgeshire Belize overriding;Nakfa Frozen Concrete
3;77030;Vatu Exclusive;Iceland Sharable Officer
4;28767;Industrial;override disintermediate quantifying
5;56497;Virginia Nepalese Music;Branding
6;94171;back-end orchestrate;RSS Fundamental out-of-the-box
7;47130;Nakfa Ergonomic Fresh;Applications
8;10493;Glens Dollar Connecticut;Utah Technician
9;86491;utilize Australia seize;Refined
10;51416;web-readiness Pants customer;Bedfordshire
